prompt,response_a,response_b
[INST] Investment for beginners in the United Kingdom [/INST],"I have done well in my 26 years of investing.  When I started I was reading one book a day and studying, learning, listening and reading more.  I have written a little on how I have done this HERE, but I will offer some simple guidelines and the reasons why it makes sense to follow them. The guidelines are as follows:  1)   Start by saving enough for a down payment on a home at least one year before you want to buy.  That means by saving about 18,000 pounds a year, you can buy a nice place with about 75,000 pounds (a 50% deposit).  This is the best loan on the market and you will save many dollars in interest by having a big down payment.  This is also going to save you 3% to 5% in closing costs or about 450 pounds for 150,000 pound mortgage. As you build equity, refinance to lower the interest rate or go to 15 year mortgage, or both.  In 7 to 10 years you will be out of the mortgage and have a paid for house.  Then you can save for a bigger house or for a second home overseas if you like. Do not do this if you want to start a family.  It is hard to take care of young children and move them to a new country.  2)  Put another 20 to 25 percent of your income aside into a 401k for retirement and get the employer match.  After that, continue to save for retirement out of this income but don't get too carried away, you have a mortgage to pay.  If you are a high earner, put more away or consider getting a 403b (some occupations have this benefit instead). It will be very hard to do this unless you are on a set budget, so write one and follow it.  Put the 401k into a balanced fund with 40% stocks, 60% bonds... the exact amount is not so relevant... a little more or less is fine.  It will make a bit of difference in your returns.  Do put the Roth IRA option in mind.  It makes excellent sense especially in the United States.  If you are a high earner, put the money into a separate savings account in another country that will earn decent interest, like say 10%, which beats what a savings account is likely to pay here.  You might even use that money for investments in another country.  The United States is no a good investment option anymore.  The dollar is only going down in value.  3)  Take and invest your tax return for the year.  Even though you have saved already it will grow faster than normal because of the 8% you are earning on the money in a savings account.  Keep this amount in cash.  Every now and then move some of the cash into a long term investment, preferably one that allows withdrawals before age 59 1/2.  4) When your emergency fund is where you want it, start investing any more income from bonuses or pay raises in stocks and mutual funds of companies you have researched and like.  Then increase the amount every year.  This can be in one company or multiple companies.  Do this at least 3 to 5 years before you want to retire.  You can put $5,000 in a stock every 6 months plus another $625 in a company that allows stock purchase plans. If you don't want to invest in stocks, then trade commodities, currencies or other options like gold or silver.  This increases the level of risk and makes returns much more difficult to come by.  Do not invest in them at the same time.  For instance if you have the cash and buy stock you can also buy currency and gold in addition because your cash will be tied up.  When you have the money back and want to put it into stock, then sell the gold or currency.  Do this at least a month before the stock transaction.  The money that you will get back on the other transactions should be just enough to buy the stock that you want.  Gold is going to go up as long as people are buying it, but it could be much higher than it is today.  The dollar is going to get lower and lower, so buy currencies of countries that are doing well, like Canada, Switzerland and Australia. The more money you have to invest, the higher the level of risk, unless you use a 401k style arrangement and then you can't touch your money until you","It's important that you take full responsibility for your own financial security.  This responsibility for your finances should extend beyond retirement investment, but let's start with some very basic advice: You should seek to reduce your debt and then build an emergency fund. Both before and after investing in your retirement.  If we can get you out of debt, then let's look at ways we could use your money to do things that you're confident with, and not simply speculate on how things may or may not pan out over 30 to 40 years.  If you can take investment advice and make your money work for you then this is the one other thing I'd encourage you to do:  Dollar cost average. Invest at regular intervals.  You may find it convenient to make a deposit to your pension each month for now, and make further regular deposits once you start receiving your paycheck."
[INST] I cosigned for a friend who is not paying the payment [/INST],"I think the best way is to ask them how much they are paying monthly and how much of it is the principal.  Offer to pay a portion of the principal as long as they commit to paying the interest.  For example if it has a $360/month payment, offer to pay the $216 in principal.  That cuts the payments in half over a few years, so they could get on some other plan or just have a more reasonable payment.  (You should also be aware of how this may change their debt to income ratio) And be ready to be very firm about a deadline.  And be ready to walk away if they will not agree to any sort of plan.  If they are willing, then do what you can afford and you should be fine.  Just make sure you don't pay for an accident that was not your fault.","You are completely uninformed.  You can be held to default on a liabilities under any or all provisions. The only reason lenders will loan is because another person cosigns and you are only considered the primary applicant. If you agree to it - so be it, you still will be subject to what ever default provisions are in the agreement.  And this is by law and not because the lender said so. You need to know the terms of the agreement you agree to and if they were put down in writing, then you need to verify that the paperwork is accurate for the transaction.   The lender will do what ever they have to to get their money back.  This can often include turning debt collectors on you and putting a lien on your personal property if you do not make the payments.  And there could be a huge amount of interest stacking up even while you are paying the loan down.  You should consider it a red flag if they do not ask for a cosigner to even open the account.   You are not completely unbiased, you do not have any facts to be unbiased.  Just because the person does not pay does not mean that you can stop paying.  You are considered the primary and are subject to the full debt.  If he continues to refuse to pay after you start paying, you are in for a world of trouble as you are the person the lender will turn to for making payments. In the event you do pay it off, your friend has not paid a penny, that is a very bad situation to be in. Lenders will only look and what you have as your income, if you cosign, they will ignore what you are worth. If you agree to cosign, in all likelihood, you friend will not pay.  You do not have the power of 2, 2 of you against 3 is usually not enough to outnumber the creditor.  I would suggest that you decline the loan and make your friend find another lender.   Be very careful of this situation, in most cases the friend never pays and the lender comes after you to recover the amount of the loan that is being paid off.  You will never get them off of your record because there was an agreement that said you would be liable for the balance if it was not paid.  This is not something that you would ever want in your record.  This can be as big a deal as a felony on your record."
[INST] Put idle savings to use while keeping them liquid [/INST],"You also have to examine who is making you money on these investments: you, somebody else, or the bank. If you have some friends to whom you would like to loan some money to, you could consider making your cash available to loan.  If your friend pays you back, you've made money.  If they don't pay you back, well, that sucks for you.  If you have a friend whom you have loaned money to before without any issues, this could be a good way to make money without running your own business.","I'll add to what others said in this area: Investing in stocks or funds should not be viewed as an expense or tax for your money; it should be viewed as a way to multiply your money. The only real ""tax"" of trading is the time it takes to do the work and pay the fees, and even then this is far less tax than the potential gains of making a good investment. In other words, when an investment pays off, you gain more value -- whether you buy a stock or fund for 10 Euros, or 10 Million, you gain if the price goes up or down. So, put your money in a savings account if you are short-term or unskilled at the stock market. Do your homework though: A small, diversified portfolio of stocks is less risky, and likely to give you better returns than a bigger portfolio of stocks/bonds. It may also increase your chances at a gain by helping you get into the habit of saving and investing. The point of investing is to gain financial advantage by building value. The real problem with trading is that it's not a sure-fire win: stocks can increase and decrease in value, and can be risky, or it can just be that you chose poorly. Trading is for folks who are comfortable with losing value -- like gamblers; it's a game and there are rules and odds. Investing in companies is for people who want to make money and don't want to take as much risk as gambling (e.g. the majority of the population). You increase your chance of success, and the value of your money, by educating yourself: This includes reading financial documents, and understanding the markets you plan on investing in."
[INST] Are prepayment penalties for mortgages normal? [/INST],"There used to be a time when you'd want to pay your mortgage off early, because it meant that you were cutting your interest costs and thus increasing your overall wealth.  A prepayment penalty prevents you from doing this, but not many people do it anymore unless they have to close on a house quickly or are offered a very attractive mortgage rate. There is at least one case in which you may consider it: if you are using your down payment to buy a less expensive home and are going to apply the proceeds from the sale of the old house as additional principal on your new mortgage. In this situation, any prepayment penalties that you incur can be seen as essentially interest on the down payment. This of course requires that the house sell for enough money to clear the down payment as well as cover the prepayment penalty.","In order to cover himself in case of loan default, a lender will usually charge a fee for prepaying the loan.  This is because prepayment could mean they don't make as much interest as they intended to.  But he is not supposed to make the fee unreasonable.  If the penalty is high, there are rules in place that the bank has to justify the penalty, usually in ways the mortgagee does not find favorable.  A bank can make their own rules on the mortgage, but they may be overruled by state or federal law regarding the interest rate or penalties they are allowed to attach. Here's a quick read from one state:  https://www.attomdata.com/news/foreclosure-news-headlines/prepayment-penalties-homeowner The prepayment penalty is different than a prepayment that you are trying to make in order to avoid bankruptcy and the foreclosure.  If you are trying to save your home to avoid bankruptcy, ask about that.  There are usually ways your home could be saved if it is owned by only one spouse, the other spouse is in debt, and you have lived in it for at least two years.  Otherwise you can avoid it by paying the original price, which includes penalties.  Be sure to read the terms of any mortgage documents that you may sign."
"[INST] After consulting HR Block, are you actually obligated to file your taxes with them, if they've found ways to save you money? [/INST]","To my experience, yes. However your mileage may vary, of course. If your bill was paid, then HR Block is obligated to handle it. In one of my experiences they took longer than they expected and my state fined me for not filing my taxes on time (the bill being payed, in this example, isn't tax filing per se but the equivalent procedure in Europe).","First, yes, you can go to a different professional for a second opinion.  You need to be careful that you have everything you need when going through a second one, though.  You don't want to have to pay for the same things twice. If the tax advisor says ""We can save you X in the form of A, B, C, and D, do you want those credits?"" you can say no and you'll still get your refund.  If you get to the point where they've done everything and they say, it's time to sign.  That point is where you need to ask, ""What exactly did you do to reduce my tax liability?"" or similar and you need to make sure you're signing for the refund you've earned and it's not just a blank check. If you say ""no, you didn't find me all the credits you could,"" the advisor can't very well say ""but the software doesn't know how to do this particular one.""  That's like them telling you you should get another 300lbs of meat from the butcher and you go back to the place and there's no meat, your choice of meat is the one they're claiming you're missing. A really good advisor can sit down with the tax software and walk you through how they get the numbers they get."
[INST] What effect would a company delisting from the LSE to move to china have on shareholders? [/INST],"There is no ""shareholder vote"" on a delisting, and the company is not obliged to offer to buy/transfer investors' shares to the new owners or to any third party. Depends on the contract, but the owners of a VC fund do have a vote that gives them some control over what happens.","There would be the cost of the delisting and re-listing in China for investors to get back the returns they wanted. Also, in some cases, the Chinese laws limit foreign investors to get back their shares. It's possible the re-listing wouldn't be 1/1 with the LSE, and there would be some loss of value. Another cost to shareholders is the potential loss in liquidity that may come with moving to the Chinese market. Also, I'm not sure there is a Chinese equivalent of a GBP or USD, so you might have some fluctuations in the currency and have a cost to have to trade from a GBP to the Chinese currency. It is also possible that having shares in an entity with a Chinese exchange would give that entity exposure to political risks in Chinese government."
[INST] Does Technical Analysis work or is it just a pointless attempt to “time the market”? [/INST],"The market is very, very inefficient. While many would argue that technical analysis may be no better than the old ""Shot in the Dark"" method of stock buying, others note that this kind of analysis is just used to filter stocks to either buy if they hit their entry price in order to reduce risk and increase overall efficiency. Many investment professionals also use it for risk management: setting stop-loss/stop-buy points to ensure that the strategy remains profitable when a stock has reached a certain percentage beyond the initial entry price/stop-sell price and vice versa. So while technical analysis is not an accurate or reliable enough method for stock investment in itself, it can be used by professionals as a compliment to other methods of investing.","I will address only this part of your question: A lot of technical stock analysts claim to be able to tell that the stock will go 'up', 'down' or 'hold' after a certain trigger has been crossed. Why is this not true? There is nothing wrong with this. The problem is how the tool is applied. If you look at the chart, you will see that certain price patterns (such as the head and shoulder) tend to produce particular behavior in the price action. This action can be used to estimate or forecast what potential returns such a action can yield - at the individual security-level. However, at the index-level (S&P500, FTSE100, CAC40) where many technical analysis traders base their trades, it can be difficult to find a single chart pattern to represent the entire market. Such a approach is inappropriate as it does not take into account all the different companies operating in the basket. Therefore, the above method can be applied - but it is inappropriate for index trading. In the end, technical analysis is a method to apply an efficient or fundamental approach to trading. It does not claim that it can accurately forecast or estimate the movements all the time. In fact, the method is less efficient as it is more dependent on other factors (traders' sentiment, technical levels' levels etc.). The efficiency relies on the trader being able to adapt and interpret the information presented to him / her and use the analysis in the most appropriate manner for the instruments they trade."
[INST] How should I record invoices in foreign currency in GNUCash? [/INST],"If you're referring to how you should set up GnuCash, it looks like you don't need to do anything new to the accounts themselves, you only need to set the foreign currency to be used in the Payment details for invoices in the Receive Payment dialog. To do this, open the invoice, right click on the invoice transaction, select Receive payment, and set the currency in the Payment details section.","It's a common issue. Every business will deal with invoices and expenses in multiple currencies. If you want to properly keep a real time and accounting of your business, you have to have the currency rate as a separate account. I'll create a fictitious example to show you what I mean : Let's say you have an American client who owes you 100€. Let's also assume that you sold your product for the €1. You would record 100€ in Asset: Client, 100€ in Liability: Invoice Receivable, then you record a journal to the Asset: Client Revenue, at an expense of 0. You record another journal to a gain account, at a profit of 1 and the liability of 10€ to the Expense: Foreign Exchange Change account, when you receive the invoice payment of €99.99. With this, as long as you have an asset account for each Client or Supplier, and a gain account for each currency, your double accounting is accurate and you can see it in real time. When there is a need for a gain or loss at the end of the year, all you need to do is to find your net profit/loss account for each currency and put your gain/loss accounts into it, or you create a journal at the end of the year that goes to the current, and creates a gain/loss account for the net gain/loss of each foreign currency. This can be daunting at the beginning, but it will save you a lot of headaches when you actually need to look at your real time financial information.  Good luck!"
[INST] Is being a landlord a good idea? Is there a lot of risk? [/INST],"From a legal side, I can say this depends on your state's laws on how much deposit is required for a given security deposit, and what can/can't be taken out of it if an issue arises later. What can you get back? The amount you can recover when you want to evict a tenant will vary from region to region, and state to state, so you might have to hire a lawyer to get past specifics at your state level. (if you're in the US for example, it really does vary, but there are a number of states that currently have 'rent-to-own' laws that are very much in your favor if you're the landlord; they basically say  that 'if it moves, it's the landlord's property and if it doesn't move, it's the tenant's property'. There are no states in the US with favorable laws to tenants to my knowledge, but in California, there are several cities that have laws that are far in Tenant's defense, but the State itself is pretty favorable to the Landlord's defense). You might also want to consider getting a separate Insurance policy, and if you don't have one, a Home Owner's policy. There is 'landlord' insurance to cover things; but you might consider the policy doesn't do so as much if you've got a property, tenant(s) and a mortgage; in case of catastrophic losses, your landlord would generally be expected to cover all costs above what the 'Home owner' or 'Renter' policy would cover as an option. If you're in an area with high insurance rates, you might consider a small separate policy that might help you with covering the mortgage. You should also check with how state and local laws affect rental property tax. In some places, you can get a number of deductions on taxes for owning rental property, while others you would be charged taxes for maintaining 'rental property'.  If you do decide to go down this route, I'd recommend that you research the details of laws where you live, find out what costs you really think you'll be getting back when you have to evict a tenant (or if you've decided to go all-out and rent this property to friends, I'd suggest an added legal agreement of some sort - make sure they pay you in full, or you'll have to turn them into debtors as friends, not that there's anything wrong with that..) Also see if your mortgage allows you to pay any portion of your mortgage against rent, or if you need to wait for rent to get paid in full before you can start paying back your mortgage (I'd also ask the lender if they can deduct the cost of mortgage insurance or PMI from that, so you can save some money there). You should also make sure that you're aware of the property inspections in your area (do I have to take photos or a video of the property, do I have to take readings of temperature and humidity etc). I'd also check for any local laws that can affect you; for example: if it's a small town, it might be illegal to rent to someone else, if you're trying to sell and rent to someone else, you'll have to wait a certain amount of time before you can rent out property, and you have to declare you're renting it out as an 'Investment property'. You'll also want to consider things like: are the tenants responsible for their own repairs? In some areas, the landlord has to maintain and/or make any repairs, and any costs must be applied to the tenant; but in other areas, you might make the tenant do their own repairs and charge them for their time and materials, provided you don't ask for more than a reasonable amount to charge them. In the US, the current standard for what can and cannot be held in a security deposit is generally covered in your state laws and Federal laws, but you'll still want to ensure you check the local codes of conduct: generally to protect tenants, many areas do not permit 'retaliatory' measures for a tenant against a landlord, so you're generally stuck with the rules unless you want to fight a tenant in court for a 'landlord evict'. In addition, if you have a tenant who refuses to pay rent, the rules may allow you to evict them, but it might require you to pay for the entire month or years of rent if the renter has already paid. The current legal system is complex; the laws of our modern system are far ahead of what the old world did. If you look back a while","I think you know the answer already.  Investing in property is risky.  If you can't handle risk, I suggest you get out now.  You could get into property without being in any sort of debt if you were to pay cash - but that means you would have to save for a while for a down payment if you were to take that route."
[INST] Should I consider my investment in a total stock market fund “diverse”? [/INST],"The ""diversification"" of any investment portfolio is always in the realm of probabilities, not certitudes. If you have a diverse portfolio that includes bonds or other investments that are not highly correlated with the stock market, you will be less risky. This is because a crisis such as the crisis that began in 2008 might not affect the investment that is not highly correlated with the stock market as adversely as it would affect the stock market. However, at the same time, if one of your non-stock investments is poorly thought out or is itself not highly diversified, it may also decline at the same time as the stock market; or if you diversify too much, you may end up not giving the stock market a chance to recover as when it is on its way up again the rest of your investments may end up going down. I think you should be investing in mutual funds instead of ETFs if you buy on a regular schedule and invest a fixed amount. The management fees of ETFs are just too high and they are more suitable to large purchases or trades where you get them at the NAV rather than through a market maker. You may also want to look into a company such as Fidelity (or maybe Charles Schwab or Vanguard) and try to balance your investments among mutual funds they have available. Don't just go for the lowest expense ratios, since you may find your choices are not very good. Instead look for mutual funds with a good record of beating the overall market without too much out-performance in bad periods. Fidelity has, for example, a number of mutual funds that might fit what you want, I find Vanguard too ""investor friendly"" so I tend to shy away from them; I find that their investments are in fact less varied and more likely to underperform the market when it goes down. The most important fact to understand what is that whatever happens, your wealth can still be more than adequate; thus, it doesn't matter if the stock market goes down but rather whether your wealth is more than what you need; how much risk you can be exposed to is limited by what you need later on, not by what your overall situation is at any point in time.","1) Investment funds must by law carry out periodic valuations of the value of their assets. They are then required to publish the results of the valuation as well as any variance between the previous valuations. 2) This can also be an element of their marketing as it is part of their sales pitch to potential investors. 3) These valuations occur independently of the manager. I.e. even if the manager is asleep they cannot stop the valuation being performed. 4) For this reason a single manager is unlikely, in and of itself, to bring a fund's assets into bankruptcy. The valuation process is designed to prevent this from happening. So, yes. You should consider your investment in a total stock market fund as diverse. It is designed specifically to be diverse and it will (in large measure) remain so."
[INST] How do wire transfers get settled? [/INST],"At the most basic level, a wire transfer is a message that you as the originator (with your bank) are going to send X amount of money to Y recipient, to be paid at a specific bank on a specific day.  The bank that received the wire then puts X amount in the account of the recipient at the bank they specified. To actually settle the wire transfer payment, funds from the sending bank will be wired to the receiving bank on the day payment is to be made. If it is an international wire transfer, then it is pretty much the same thing, but they just use the SWIFT network to do inter-reconciliation of payment instructions and processing. The SWIFT network allows for banks to get rid of the paper-based transmittal messages used in the past (which was the way we ended up with all the banks doing in-flight airplanes full of cash to pay for large amounts of money). Also, SWIFT has a lot of back-office support to make it easier for banks to pay the recipient.","A wire transfer would be similar to (but not the same as) a cashier's check. With a cashier's check the payer deposits US dollars into the bank, then the bank creates a ""check"" out of the money in the account. For the wire transfer, the bank sends something similar to ""Ach"" to the receiving banks account/account number then the receiving bank credits your account with the USD's in their foreign (i.e. not US) account."
[INST] What's the least risky investment for people in Europe? [/INST],"You can start doing this right now, right by your own house. Do you have any investments, shares, stocks, funds? Are you paying too much rent? Are you paying too much for running a car? You need to start an emergency savings, as you should not really do this in any other way and in emergency it will keep you going until you can settle your debts elsewhere. So in conclusion you can save 20%. You can find lots of financial advise on internet but before you start investing it would be nice if you could get to know something about personal finance and investing. It will help you to make a more educated choice what is the best fit for where you are now and where do you want to be in the long run. You may find it difficult to find that type of adviser. I would recommend to start checking out the following links I recommend, if you want to learn more about personal finance and investing, before you actually jump in the mud and risk your money somewhere else, until you are completely sure what are you doing and what do you really want to achieve.","There are lots of options, but this question is hard to answer.  The least risky depends on the investor. I am going to give an easy option for you first. Second will be for someone more adventurous and who can afford to lose a bit.  Option 1: Put every penny possible in an emergency fund of bank accounts.  Aim to have at least six months of emergency funds. Option 2: A bit riskier is to put money into long bond ETFs or bond equity ETFs.  For example an emerging equity and bond ETF will include bond securities plus equity in emerging markets.  You want to choose ETFs that are low cost but with long track records.  The reason for this riskier option is that most of this will go into countries that have a high probability of paying dividends and interest in the Euro currency.  In addition, the equity portion will mean that you are more invested in growing companies.  So, you are not going to have much risk here, as the interest plus company growth should pay for the cost of the dividend, even while currency moves or political events occur.  This option means you are doing more investing.  So there is more risk, but you are not going directly into a risky investment.  I would consider some of this money to buy some small caps in emerging markets, as their upside potential is greater, and you want some of this upside.  You would probably want to divide your funds so that no one country or company has too much of your money. So, you need to decide if you want to invest as is and grow 10% over 30 years or invest and invest in the best way for you.  You do not want to guess based on some advice.  You need to decide what your risk aversion is.  Once you do that you can make a decision."
[INST] When would one actually want to use a market order instead of a limit order? [/INST],"There are many reasons why a trader might not want to use a limit order or a stop loss order.  One major reason is that the stock price can often jump or gap on a surprise earnings report, or on some other news such as a lawsuit, new products, takeovers, etc.  In these cases the traders want to enter their orders early before the breakout. Even then, sometimes volume is not high enough to give any indication on whether the breakout will continue up or the bulls will run out of steam and we'll see a pullback. Some traders will place market orders near the breakout level in order to get their shares out of the stock before the price drops back to previous levels.","You usually want to use a market order for larger orders.  In a market order, you just tell the broker to execute the order immediately at the best available price (market).  So, you are in and out of the trade sooner and take greater execution risk.  If you do a lot of trade size, you would want to use a market order (because you do not want the price to move 1% away from the bid because you can't fill your order within 1 minute). On the other hand, when you place a limit order, you specify a price level that you want to buy/sell at, and the order usually does not get executed until a counter-party is willing to trade with you.  Therefore, you are more in control on the execution price."
[INST] Do you have to be mega-rich to invest in companies pre-IPO? [/INST],"No, you can buy shares in a company before an initial public offering (IPO) via a private equity fund (also known as a venture capitalist fund or VC fund). The general partners in this fund collectively make decisions about which early stage companies to invest in. If a company grows rapidly and does not need to use more equity financing (i.e. more funding via an IPO or the sale of shares to a strategic buyer), it can take 10 years or more before investors may be able to exit the deal via an investment bank or a sale to a strategic buyer. The general partner receives a fee for managing the venture capital fund, and a fraction of the profits gained by the fund. If a company does not find a company or go public, investors never see any return on their investment. Investors are typically accredited investors, or people who invest in the funds directly. Some of these investors may also be wealthy.","This is actually quite possible. I have been doing this for a few years now and I have had decent results. What the company is looking for is an investor who can help them in some way, if they believe you may be able to help them in some way or that you have a lot of contacts that can help then they should consider you an Angel Investor and it's possible for them to be willing to set up these kinds of deals for you. The one that I went through I invested via a Venture Capitol firm that had contacts within the company to setup the deal.  So basically I had to start contacting people within the company, and this took me more than a year to finally get to the CEO and the Chairman of the board and that is how that opportunity finally came around. Another form of doing this is to find yourself a broker that works with these kinds of investments. I have a broker that works with these kinds of investment that can help point you in the right direction. I think one thing to remember, and what I am doing at the moment is look for smaller companies with high turnover, these will have less risks and have a more likely chance of becoming an acquisition target soon."
